trip_id,pickup_datetime,dropoff_datetime,pickup_location,dropoff_location,fare_amount,distance_km,driver_id,customer_id,ride_status,payment_type,vehicle_type,surge_multiplier,rating,weather_condition,trip_duration,hour,day,month,is_weekend,revenue,revenue_per_km
3,2023-04-02 14:52:00,2023-04-02 15:37:00,Pune,Pune,68.11,6.5,1150,6061,completed,cash,sedan,1.0,3.3,Storm,45.0,14,Sunday,4,1,68.11,10.478461538461538
16,2023-09-27 18:28:00,2023-09-27 18:39:00,Pune,Pune,207.57,2.5,1905,8027,completed,card,mini,1.0,4.0,Clear,11.0,18,Wednesday,9,0,207.57,83.02799999999999
26,2023-08-16 03:09:00,2023-08-16 03:46:00,Bangalore,Bangalore,493.89,4.87,1391,9274,completed,card,sedan,1.0,4.0,Fog,37.0,3,Wednesday,8,0,493.89,101.4147843942505
28,2023-05-19 05:21:00,2023-05-19 05:42:00,Pune,Pune,426.42,8.48,1097,7610,completed,upi,suv,1.0,3.6,Clear,21.0,5,Friday,5,0,426.42,50.285377358490564
38,2023-12-04 15:52:00,2023-12-04 17:18:00,Mumbai,Mumbai,308.9,15.75,1687,6944,completed,upi,sedan,1.5,3.5,Fog,86.0,15,Monday,12,0,463.34999999999997,29.419047619047618
40,2023-12-14 08:26:00,2023-12-14 09:16:00,Mumbai,Mumbai,239.5,6.07,1566,7040,completed,cash,mini,1.5,3.5,Rain,50.0,8,Thursday,12,0,359.25,59.18451400329489
48,2023-11-11 03:26:00,2023-11-11 04:44:00,Delhi,Delhi,416.96,14.36,1839,6145,completed,cash,mini,1.2,3.7,Storm,78.0,3,Saturday,11,1,500.352,34.843454038997216
55,2023-08-10 13:10:00,2023-08-10 14:22:00,Chennai,Chennai,264.74,2.58,1157,5797,completed,cash,mini,1.5,5.0,Clear,72.0,13,Thursday,8,0,397.11,153.91860465116278
68,2023-07-08 03:36:00,2023-07-08 04:32:00,Chennai,Chennai,169.42,5.05,1205,5471,completed,cash,suv,1.0,3.2,Storm,56.0,3,Saturday,7,1,169.42,33.548514851485145
75,2023-02-17 07:48:00,2023-02-17 08:40:00,Hyderabad,Hyderabad,487.34,14.66,1649,9597,completed,upi,sedan,1.2,3.9,Rain,52.0,7,Friday,2,0,584.808,39.89140518417462
79,2023-09-23 11:58:00,2023-09-23 13:18:00,Chennai,Chennai,94.56,5.68,1611,8608,completed,upi,suv,1.0,4.9,Clear,80.0,11,Saturday,9,1,94.56,16.647887323943664
83,2023-06-28 03:08:00,2023-06-28 03:47:00,Pune,Pune,360.85,6.8,1870,7926,completed,card,sedan,1.2,4.3,Storm,39.0,3,Wednesday,6,0,433.02000000000004,63.67941176470589
87,2023-02-25 14:37:00,2023-02-25 15:47:00,Mumbai,Mumbai,375.73,11.7,1800,5401,completed,cash,suv,1.0,4.1,Storm,70.0,14,Saturday,2,1,375.73,32.113675213675215
93,2023-07-15 13:21:00,2023-07-15 13:29:00,Bangalore,Bangalore,155.82,1.39,1558,7725,completed,card,mini,2.0,3.6,Fog,8.0,13,Saturday,7,1,311.64,224.20143884892087
114,2023-01-29 01:17:00,2023-01-29 02:45:00,Hyderabad,Hyderabad,91.04,20.49,1979,5506,completed,cash,mini,1.0,3.1,Fog,88.0,1,Sunday,1,1,91.04,4.4431429965837
125,2023-01-07 10:28:00,2023-01-07 11:49:00,Mumbai,Mumbai,487.22,3.96,1623,5094,completed,cash,suv,1.0,4.0,Rain,81.0,10,Saturday,1,1,487.22,123.03535353535354
128,2023-05-16 06:16:00,2023-05-16 07:29:00,Hyderabad,Hyderabad,460.96,12.13,1392,5026,completed,upi,suv,2.0,3.8,Storm,73.0,6,Tuesday,5,0,921.92,76.0032976092333
129,2023-06-01 06:51:00,2023-06-01 07:03:00,Delhi,Delhi,156.46,6.93,1075,6984,completed,card,mini,1.0,4.6,Fog,12.0,6,Thursday,6,0,156.46,22.57720057720058
142,2023-11-13 12:48:00,2023-11-13 14:07:00,Mumbai,Mumbai,208.93,22.79,1809,5218,completed,card,sedan,1.0,3.3,Fog,79.0,12,Monday,11,0,208.93,9.167617376042124
